Year,Quarter,Period,Region,Condition,Referrals,Avg_Wait_Weeks,Inpatient_Count,Bed_Days,Treatment_Completion_Rate,Staff_Vacancy_Rate,Year_Quarter_Num
2019,Q1,2019 Q1,London,Depression,1720,3.7,185,5651,0.676,0.095,2019.0
2019,Q1,2019 Q1,London,Anxiety Disorders,1529,5.0,166,3950,0.7,0.081,2019.0
2019,Q1,2019 Q1,London,Bipolar Disorder,434,8.5,46,727,0.699,0.075,2019.0
2019,Q1,2019 Q1,London,Schizophrenia/Psychosis,311,4.9,37,1212,0.729,0.062,2019.0
2019,Q1,2019 Q1,London,PTSD,637,5.0,67,2383,0.738,0.078,2019.0
2019,Q1,2019 Q1,London,Eating Disorders,353,5.2,47,1313,0.696,0.087,2019.0
2019,Q1,2019 Q1,London,Personality Disorders,486,13.4,52,1952,0.767,0.091,2019.0
2019,Q1,2019 Q1,London,ADHD,805,7.0,108,3785,0.679,0.068,2019.0
2019,Q1,2019 Q1,South East,Depression,1109,4.0,123,1886,0.753,0.074,2019.0
2019,Q1,2019 Q1,South East,Anxiety Disorders,990,3.7,129,3750,0.677,0.099,2019.0
2019,Q1,2019 Q1,South East,Bipolar Disorder,312,8.0,40,1404,0.747,0.063,2019.0
2019,Q1,2019 Q1,South East,Schizophrenia/Psychosis,208,2.7,21,772,0.701,0.073,2019.0
2019,Q1,2019 Q1,South East,PTSD,443,8.6,52,1579,0.682,0.089,2019.0
2019,Q1,2019 Q1,South East,Eating Disorders,267,10.2,31,951,0.722,0.077,2019.0
2019,Q1,2019 Q1,South East,Personality Disorders,316,3.0,38,1380,0.761,0.07,2019.0
2019,Q1,2019 Q1,South East,ADHD,505,4.5,52,1765,0.699,0.066,2019.0
2019,Q1,2019 Q1,South West,Depression,852,7.3,113,4211,0.75,0.067,2019.0
2019,Q1,2019 Q1,South West,Anxiety Disorders,726,9.4,97,2852,0.702,0.064,2019.0
2019,Q1,2019 Q1,South West,Bipolar Disorder,190,9.2,25,641,0.671,0.08,2019.0
2019,Q1,2019 Q1,South West,Schizophrenia/Psychosis,140,5.0,15,385,0.764,0.073,2019.0
2019,Q1,2019 Q1,South West,PTSD,285,3.6,39,1530,0.766,0.07,2019.0
2019,Q1,2019 Q1,South West,Eating Disorders,170,3.3,17,341,0.731,0.08,2019.0
2019,Q1,2019 Q1,South West,Personality Disorders,211,7.2,23,596,0.684,0.08,2019.0
2019,Q1,2019 Q1,South West,ADHD,368,7.9,47,883,0.694,0.089,2019.0
2019,Q1,2019 Q1,Midlands,Depression,1406,9.5,170,6653,0.679,0.093,2019.0
2019,Q1,2019 Q1,Midlands,Anxiety Disorders,1195,10.3,122,4268,0.721,0.069,2019.0
2019,Q1,2019 Q1,Midlands,Bipolar Disorder,367,7.3,42,868,0.764,0.066,2019.0
2019,Q1,2019 Q1,Midlands,Schizophrenia/Psychosis,249,5.1,31,1005,0.752,0.082,2019.0
2019,Q1,2019 Q1,Midlands,PTSD,515,5.2,69,1818,0.76,0.085,2019.0
2019,Q1,2019 Q1,Midlands,Eating Disorders,299,9.2,40,842,0.759,0.091,2019.0
2019,Q1,2019 Q1,Midlands,Personality Disorders,419,6.6,42,1460,0.68,0.087,2019.0
2019,Q1,2019 Q1,Midlands,ADHD,566,6.4,71,1296,0.735,0.069,2019.0
2019,Q1,2019 Q1,North West,Depression,1155,4.1,148,2805,0.735,0.094,2019.0
2019,Q1,2019 Q1,North West,Anxiety Disorders,981,3.8,113,3295,0.697,0.07,2019.0
2019,Q1,2019 Q1,North West,Bipolar Disorder,300,8.2,37,965,0.749,0.08,2019.0
2019,Q1,2019 Q1,North West,Schizophrenia/Psychosis,201,2.5,25,693,0.698,0.061,2019.0
2019,Q1,2019 Q1,North West,PTSD,408,5.7,55,1865,0.766,0.094,2019.0
2019,Q1,2019 Q1,North West,Eating Disorders,231,8.6,26,656,0.687,0.082,2019.0
2019,Q1,2019 Q1,North West,Personality Disorders,341,7.6,35,1473,0.732,0.1,2019.0
2019,Q1,2019 Q1,North West,ADHD,451,8.6,58,1647,0.74,0.088,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,Depression,1014,8.3,133,3081,0.757,0.097,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,Anxiety Disorders,890,9.6,111,3114,0.74,0.092,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,Bipolar Disorder,275,3.1,28,447,0.728,0.061,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,Schizophrenia/Psychosis,184,1.5,22,678,0.673,0.061,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,PTSD,389,3.8,46,1164,0.747,0.069,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,Eating Disorders,226,12.0,28,1196,0.743,0.099,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,Personality Disorders,297,8.6,33,758,0.714,0.063,2019.0
2019,Q1,2019 Q1,North East & Yorkshire,ADHD,410,4.1,44,1816,0.686,0.07,2019.0
2019,Q1,2019 Q1,East of England,Depression,643,8.4,72,2745,0.765,0.09,2019.0
2019,Q1,2019 Q1,East of England,Anxiety Disorders,551,2.7,61,2607,0.706,0.09,2019.0
2019,Q1,2019 Q1,East of England,Bipolar Disorder,147,5.4,15,644,0.719,0.079,2019.0
2019,Q1,2019 Q1,East of England,Schizophrenia/Psychosis,108,1.0,13,228,0.734,0.062,2019.0
2019,Q1,2019 Q1,East of England,PTSD,223,6.1,29,1356,0.736,0.067,2019.0
2019,Q1,2019 Q1,East of England,Eating Disorders,127,5.5,15,427,0.764,0.083,2019.0
2019,Q1,2019 Q1,East of England,Personality Disorders,179,4.5,21,942,0.764,0.075,2019.0
2019,Q1,2019 Q1,East of England,ADHD,293,4.8,33,978,0.754,0.061,2019.0
2019,Q2,2019 Q2,London,Depression,1979,4.9,251,6314,0.733,0.095,2019.25
2019,Q2,2019 Q2,London,Anxiety Disorders,1676,4.9,181,6337,0.745,0.092,2019.25
2019,Q2,2019 Q2,London,Bipolar Disorder,508,2.0,66,1203,0.704,0.097,2019.25
2019,Q2,2019 Q2,London,Schizophrenia/Psychosis,355,10.4,45,1101,0.68,0.096,2019.25
2019,Q2,2019 Q2,London,PTSD,673,5.2,90,3203,0.709,0.06,2019.25
2019,Q2,2019 Q2,London,Eating Disorders,430,5.8,58,1339,0.765,0.083,2019.25
2019,Q2,2019 Q2,London,Personality Disorders,549,2.0,62,1514,0.737,0.09,2019.25
2019,Q2,2019 Q2,London,ADHD,845,4.8,102,2848,0.714,0.096,2019.25
2019,Q2,2019 Q2,South East,Depression,1254,8.0,132,5129,0.678,0.088,2019.25
2019,Q2,2019 Q2,South East,Anxiety Disorders,1026,7.9,107,3742,0.678,0.099,2019.25
2019,Q2,2019 Q2,South East,Bipolar Disorder,314,9.4,42,1015,0.769,0.09,2019.25
2019,Q2,2019 Q2,South East,Schizophrenia/Psychosis,224,1.4,30,1216,0.681,0.08,2019.25
2019,Q2,2019 Q2,South East,PTSD,423,4.8,44,1215,0.682,0.086,2019.25
2019,Q2,2019 Q2,South East,Eating Disorders,286,7.7,33,947,0.699,0.095,2019.25
2019,Q2,2019 Q2,South East,Personality Disorders,350,6.7,48,1721,0.677,0.082,2019.25
2019,Q2,2019 Q2,South East,ADHD,592,12.2,75,2343,0.715,0.085,2019.25
2019,Q2,2019 Q2,South West,Depression,868,5.7,107,3831,0.698,0.068,2019.25
2019,Q2,2019 Q2,South West,Anxiety Disorders,730,8.6,76,1027,0.767,0.099,2019.25
2019,Q2,2019 Q2,South West,Bipolar Disorder,220,1.2,28,865,0.738,0.067,2019.25
2019,Q2,2019 Q2,South West,Schizophrenia/Psychosis,163,7.9,19,756,0.763,0.095,2019.25
2019,Q2,2019 Q2,South West,PTSD,283,5.8,37,952,0.769,0.066,2019.25
2019,Q2,2019 Q2,South West,Eating Disorders,186,6.9,24,655,0.754,0.079,2019.25
2019,Q2,2019 Q2,South West,Personality Disorders,241,5.7,32,881,0.751,0.1,2019.25
2019,Q2,2019 Q2,South West,ADHD,396,9.8,53,1616,0.755,0.07,2019.25
2019,Q2,2019 Q2,Midlands,Depression,1530,2.6,193,6230,0.732,0.074,2019.25
2019,Q2,2019 Q2,Midlands,Anxiety Disorders,1240,6.6,160,7100,0.722,0.094,2019.25
2019,Q2,2019 Q2,Midlands,Bipolar Disorder,388,8.6,45,1319,0.683,0.061,2019.25
2019,Q2,2019 Q2,Midlands,Schizophrenia/Psychosis,286,9.7,31,1085,0.684,0.061,2019.25
2019,Q2,2019 Q2,Midlands,PTSD,537,1.7,63,2491,0.76,0.074,2019.25
2019,Q2,2019 Q2,Midlands,Eating Disorders,331,4.8,41,1585,0.756,0.098,2019.25
2019,Q2,2019 Q2,Midlands,Personality Disorders,415,6.0,46,1581,0.716,0.099,2019.25
2019,Q2,2019 Q2,Midlands,ADHD,660,8.8,73,1202,0.678,0.065,2019.25
2019,Q2,2019 Q2,North West,Depression,1128,3.2,129,4115,0.76,0.079,2019.25
2019,Q2,2019 Q2,North West,Anxiety Disorders,1055,4.9,109,2637,0.687,0.071,2019.25
2019,Q2,2019 Q2,North West,Bipolar Disorder,284,2.4,32,846,0.72,0.088,2019.25
2019,Q2,2019 Q2,North West,Schizophrenia/Psychosis,198,7.3,20,752,0.757,0.097,2019.25
2019,Q2,2019 Q2,North West,PTSD,398,8.1,51,1174,0.688,0.068,2019.25
2019,Q2,2019 Q2,North West,Eating Disorders,251,11.9,28,714,0.716,0.09,2019.25
2019,Q2,2019 Q2,North West,Personality Disorders,317,8.1,42,844,0.721,0.081,2019.25
2019,Q2,2019 Q2,North West,ADHD,481,9.8,53,442,0.697,0.075,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,Depression,1028,3.3,116,2640,0.682,0.096,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,Anxiety Disorders,969,8.6,116,3854,0.679,0.081,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,Bipolar Disorder,282,4.9,30,1219,0.698,0.075,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,Schizophrenia/Psychosis,203,1.2,27,959,0.731,0.069,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,PTSD,372,4.9,40,919,0.689,0.071,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,Eating Disorders,226,1.0,31,1037,0.681,0.076,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,Personality Disorders,342,6.6,38,1147,0.687,0.087,2019.25
2019,Q2,2019 Q2,North East & Yorkshire,ADHD,510,11.1,57,2334,0.747,0.067,2019.25
2019,Q2,2019 Q2,East of England,Depression,666,6.7,73,443,0.681,0.084,2019.25
2019,Q2,2019 Q2,East of England,Anxiety Disorders,567,3.2,67,2019,0.723,0.062,2019.25
2019,Q2,2019 Q2,East of England,Bipolar Disorder,166,4.5,21,715,0.746,0.084,2019.25
2019,Q2,2019 Q2,East of England,Schizophrenia/Psychosis,121,1.6,16,315,0.753,0.099,2019.25
2019,Q2,2019 Q2,East of England,PTSD,230,6.4,24,689,0.677,0.09,2019.25
2019,Q2,2019 Q2,East of England,Eating Disorders,148,5.7,19,549,0.69,0.067,2019.25
2019,Q2,2019 Q2,East of England,Personality Disorders,185,7.4,22,798,0.706,0.095,2019.25
2019,Q2,2019 Q2,East of England,ADHD,288,5.4,33,1267,0.716,0.072,2019.25
